time,latitude,longitude,height
568.0115201,52.8274571,0.7240253,251.606
568.12502,52.8274492,0.7240654,251.83
568.20064,52.8274413,0.7241056,252.071
568.3141,52.8274337,0.7241458,252.333
568.4277501,52.8274261,0.7241862,252.587
568.50334,52.8274187,0.7242263,252.861
568.65453,52.8274113,0.7242669,253.107
568.73018,52.8274043,0.7243075,253.352
568.8436401,52.8273974,0.724348,253.583
568.9194801,52.8273905,0.7243886,253.81
569.03282,52.8273841,0.7244291,254.027
569.1084101,52.8273775,0.7244698,254.281
569.2219701,52.8273712,0.7245103,254.505
569.29759,52.8273651,0.7245509,254.739
569.41118,52.827359,0.7245915,255.043
569.52455,52.8273529,0.7246321,255.327
569.60021,52.8273469,0.7246724,255.632
569.7137899,52.8273411,0.7247126,255.944
569.82726,52.8273356,0.7247532,256.268
569.9028502,52.8273304,0.7247938,256.648
570.0164301,52.827325,0.7248344,257.046
570.1297801,52.8273198,0.7248749,257.432
570.2432702,52.8273147,0.7249153,257.815
570.31896,52.82731,0.7249558,258.255
570.3945501,52.8273053,0.7249965,258.688
570.5081301,52.8273004,0.7250371,259.04
570.62187,52.8272956,0.7250774,259.379
570.6972201,52.8272907,0.7251181,259.728
570.8106902,52.8272861,0.7251589,260.082
570.9620202,52.8272817,0.7251995,260.444
570.99983,52.8272772,0.72524,260.814
571.11339,52.8272727,0.7252806,261.139
571.2267601,52.8272682,0.7253211,261.439
571.3403201,52.8272635,0.7253616,261.7
571.41588,52.827259,0.7254021,261.966
571.52934,52.8272543,0.7254424,262.178
571.6052101,52.8272496,0.7254826,262.416
571.7184601,52.8272445,0.7255227,262.673
571.79408,52.8272394,0.7255625,262.943
571.9075801,52.8272342,0.7256022,263.23
572.05885,52.8272288,0.7256417,263.527
572.0967,52.8272233,0.725681,263.833
572.21013,52.8272177,0.7257203,264.137
572.32359,52.8272121,0.7257593,264.396
572.39937,52.8272064,0.7257983,264.674
572.5127101,52.8272009,0.7258369,264.936
572.6261802,52.8271952,0.7258756,265.226
572.73967,52.8271894,0.7259138,265.556
572.81532,52.827184,0.7259522,265.956
572.89098,52.8271784,0.7259904,266.402
573.0044401,52.8271729,0.7260286,266.917
573.118,52.8271676,0.7260666,267.449
573.1935902,52.8271621,0.7261046,268.018
573.3070199,52.8271567,0.7261427,268.566
573.4583302,52.8271512,0.726181,269.11
573.4964499,52.8271459,0.7262193,269.594
573.6096001,52.8271402,0.7262577,270.071
573.7230701,52.8271344,0.7262963,270.534
573.83653,52.8271289,0.7263349,270.942
573.91219,52.8271236,0.7263734,271.296
574.02565,52.8271183,0.7264117,271.662
574.1013,52.8271131,0.7264502,271.99
574.2148302,52.827108,0.7264885,272.289
574.3282599,52.8271028,0.7265268,272.617
574.4039202,52.8270978,0.726565,272.849
574.51738,52.8270926,0.7266032,273.076
574.5931602,52.8270876,0.7266413,273.302
574.70647,52.8270824,0.726679,273.507
574.8199301,52.8270772,0.7267169,273.656
574.8956201,52.8270721,0.7267544,273.785
575.0090802,52.8270669,0.7267921,273.839
575.12254,52.8270619,0.7268295,273.929
575.2360702,52.8270569,0.7268667,274
575.3117201,52.827052,0.7269042,274.044
575.42519,52.8270468,0.7269421,274.053
575.5008399,52.8270418,0.7269799,274.067
575.6521502,52.8270367,0.7270173,274.083
575.7278001,52.8270319,0.727055,274.191
575.84126,52.827027,0.7270924,274.301
575.9547601,52.8270222,0.7271298,274.407
